illegal_moves,illegal_rate,stock_lvl,winner,game_length,step,train_loss,val_loss
13,0.4814814814814814,10,stock,27,30,10.112967491149902,10.118033409118652
11,0.4782608695652174,15,stock,23,30,10.112967491149902,10.118033409118652
14,0.4827586206896552,20,stock,29,30,10.112967491149902,10.118033409118652
28,0.4912280701754385,1,stock,57,15,10.345664024353027,10.316851615905762
21,0.4883720930232558,6,stock,43,15,10.345664024353027,10.316851615905762
16,0.4848484848484848,11,stock,33,15,10.345664024353027,10.316851615905762
23,0.4893617021276595,1,stock,47,15,10.345664024353027,10.316851615905762
23,0.4893617021276595,6,stock,47,15,10.345664024353027,10.316851615905762
16,0.4848484848484848,11,stock,33,15,10.345664024353027,10.316851615905762
17,0.4857142857142857,1,stock,35,15,10.345664024353027,10.316851615905762
26,0.490566037735849,6,stock,53,15,10.345664024353027,10.316851615905762
15,0.4838709677419355,11,stock,31,15,10.345664024353027,10.316851615905762
38,0.4935064935064935,1,stock,77,30,10.108299255371094,10.119585990905762
20,0.4878048780487805,6,stock,41,30,10.108299255371094,10.119585990905762
17,0.4857142857142857,11,stock,35,30,10.108299255371094,10.119585990905762
30,0.4918032786885246,1,stock,61,30,10.108299255371094,10.119585990905762
12,0.48,6,stock,25,30,10.108299255371094,10.119585990905762
10,0.4761904761904761,11,stock,21,30,10.108299255371094,10.119585990905762
13,0.4814814814814814,1,stock,27,30,10.108299255371094,10.119585990905762
19,0.4871794871794871,6,stock,39,30,10.108299255371094,10.119585990905762
15,0.4838709677419355,11,stock,31,30,10.108299255371094,10.119585990905762
18,0.4864864864864865,1,stock,37,15,10.345664024353027,10.316851615905762
19,0.4871794871794871,5,stock,39,15,10.345664024353027,10.316851615905762
13,0.4814814814814814,10,stock,27,15,10.345664024353027,10.316851615905762
29,0.4915254237288136,1,stock,59,30,10.111554145812988,10.1187744140625
26,0.49056603773584906,5,stock,53,30,10.111554145812988,10.1187744140625
16,0.48484848484848486,10,stock,33,30,10.111554145812988,10.1187744140625
